"010044224087";0;8;"2022-05-09";1;"0120";5;0;0;2;4;0;100;0;0;0;250;2;1;01;1;6;1;3;1;0;0;00;1;01;00;;7;10;"22";9;0;1;0;1;1;200;3;1;1;"-757144,365";"-1000993,86";"-757144,365";"-1000993,86";"";"";"";"";"";"";"";"";"";"";"";"";"";"GN_V0.1UIR-ADR_410";"2"
"010044224089";0;8;"2022-04-28";4;"0630";5;0;0;2;4;0;100;0;0;0;320;2;1;01;1;1;1;3;1;0;0;00;1;01;00;;7;40;"18";9;0;1;0;1;3;300;3;1;1;"-749722,167";"-1011107,148";"-749722,167";"-1011107,148";"-749716,418";"-1011102,943";"";"";"";"dálnice";"D8";"709879";"";"Souhlasnısesmìremúseku";"Pomalı";"565881";"";"GN_V0.1UIR-ADR_410";"2"
"010044224090";0;8;"2022-05-13";5;"0800";5;0;0;2;4;0;100;0;0;0;350;2;1;01;1;1;1;3;1;0;0;00;1;01;00;;3;39;"18";3;0;1;0;1;3;300;2;1;1;"-765825,81";"-989451,09";"-765825,81";"-989451,09";"";"";"";"";"";"";"";"";"";"";"";"";"";"GN_V0.1UIR-ADR_410";"2"
"010044224092";0;8;"2022-05-15";0;"1410";1;3;0;2;1;2;508;0;0;0;400;2;1;01;1;1;1;3;1;0;0;00;1;02;00;;3;11;"21";9;0;1;0;1;3;100;3;1;1;"-754043,461";"-1002478,515";"-754043,461";"-1002478,515";"-754032,793";"-1002467,664";"";"";"";"dálnice";"D8";"1362236";"";"Souhlasnısesmìremúseku";"Pomalı";"564818";"";"GN_V0.1UIR-ADR_410";"2"
"010044224096";0;8;"2022-05-16";1;"2150";3;0;4;2;1;2;204;0;0;0;2450;2;3;01;4;6;1;3;1;0;0;00;1;01;00;;3;26;"19";9;1;1;0;1;1;1000;2;1;1;"-749504,313";"-1011396,418";"-749504,313";"-1011396,418";"-749499,054";"-1011393,03";"";"";"";"dálnice";"D8";"1587958";"";"Souhlasnısesmìremúseku";"Pomalı";"565881";"";"GN_V0.1UIR-ADR_410";"2"
"010044224099";0;8;"2022-05-19";4;"0410";3;0;9;2;1;2;508;0;0;0;110;2;1;01;1;4;1;1;1;0;0;09;1;01;00;;5;35;"22";9;0;1;0;1;1;10;2;1;1;"-760531,055";"-996399,397";"-760531,055";"-996399,397";"";"";"";"";"";"";"";"";"";"";"";"";"";"GN_V0.1UIR-ADR_410";"2"
"010044224100";0;8;"2022-05-19";4;"1140";1;4;0;1;1;2;508;2;0;1;8500;2;1;01;1;1;1;3;1;0;0;00;1;02;00;;5;19;"16";3;0;1;1;3;3;5000;3;0;1;"-761119,98";"-994952,92";"-761119,98";"-994952,92";"";"";"";"";"";"";"";"";"";"";"";"";"";"GN_V0.1UIR-ADR_410";"2"
"010044224101";0;8;"2022-05-19";4;"1157";3;0;9;1;1;2;201;0;0;2;1500;2;1;01;1;1;1;3;1;0;0;00;1;01;00;;3;44;"02";3;1;0;1;1;1;1500;3;1;1;"-761741,033";"-993935,921";"-761741,033";"-993935,921";"";"";"";"";"";"";"";"";"";"";"";"";"";"GN_V0.1UIR-ADR_410";"2"
"010044224102";0;8;"2022-05-20";5;"1025";1;4;0;2;1;2;503;0;0;0;600;2;1;01;1;1;1;3;1;0;0;00;1;02;00;;3;47;"20";3;0;1;0;1;1;500;2;1;1;"-751720,922";"-1007036,359";"-751689,325";"-1007020,828";"-751687,998";"-1007020,534";"";"";"";"dálnice";"D8";"746686";"";"Souhlasnısesmìremúseku";"Pomalı";"565032";"";"GN_V0.1UIR-ADR_410";"2"
"010044224103";0;8;"2022-05-21";6;"0942";1;4;0;1;1;2;201;0;0;1;500;2;1;01;1;1;1;3;1;0;0;00;1;02;00;;3;12;"06";1;0;1;0;1;1;300;2;1;1;"-760325,289";"-996854,155";"-760325,289";"-996854,155";"";"";"";"";"";"";"";"";"";"";"";"";"";"GN_V0.1UIR-ADR_410";"2"
